symbol,population,level,finite_count,invalid_count,pip_fallback_count,signed_p01,signed_p05,signed_p50,signed_p95,signed_p99,absolute_p50,absolute_p90,absolute_p95,absolute_p99,absolute_max,approximation
usdjpyrmp,event_relevant_20,0.618,3001550,0,43,-9.95277359666,-7.01482768303,-2.10145244783,2.26730244085,4.64704722234,2.38825933795,5.81313543193,7.08529247036,9.99264444751,47.3265659285,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,geometric,1.272,1189455481,0,3072,-59.9166160996,-36.1330043444,2.04754545925,40.9824422592,65.6874504705,12.9063747034,38.6742002722,49.1586487738,73.4681465438,309.863665355,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,geometric,1.618,1189455481,0,3072,-58.7307745235,-35.06563831,2.98158149886,42.1455771073,67.1478498229,13.0621058663,38.9068263609,49.4543390301,74.0579529436,348.651707414,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,geometric,0.382,1189455481,0,3072,-62.2360788021,-38.1368006936,0.25915603421,38.8291292732,63.1130701049,12.8035867907,38.4429650679,48.9625047837,73.1750071723,284.910297065,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,geometric,0.5,1189455481,0,3072,-62.7357135323,-38.519889441,-0.0609560947412,38.4429650679,62.6104300617,12.8035867907,38.519889441,48.9625047837,73.1750071723,282.076801684,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,geometric,0.618,1189455481,0,3072,-63.1130701049,-38.9068263609,-0.379646082247,38.0606413502,62.2360788021,12.8035867907,38.519889441,48.9625047837,73.1750071723,278.713779762,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,event_relevant_20,1.272,17994390,0,43,-5.95426693548,-3.82030379394,0.1108142134,3.93659035558,6.00206812429,1.37553205622,3.88188923743,4.81730201751,6.80761023897,21.104272671,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,event_relevant_20,1.618,17994390,0,43,-5.36641485028,-3.14064402182,0.963693951646,4.9342566429,6.98683838052,1.65325929124,4.30712223682,5.26020528341,7.27183132279,23.5098986641,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,event_relevant_20,0.382,17994390,0,43,-8.24778931928,-5.85980360912,-1.47521778475,2.68184992992,4.91456886038,1.93608853785,4.91456886038,5.99008197027,8.34730896381,39.062687263,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,event_relevant_20,0.5,17994390,0,43,-8.93436636276,-6.32226869542,-1.74145798514,2.49563399908,4.75036291971,2.11409272637,5.26020528341,6.41135809126,8.98810675526,46.2972599058,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
combined,event_relevant_20,0.618,17994390,0,43,-9.69746253637,-6.80761023897,-2.00301336969,2.31308187288,4.60083131868,2.30385263002,5.63014995001,6.87599350216,9.73631061009,53.5711044522,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
