event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
JOLTS,2013-10-24T09:00:00-05:00,2013-10-24,BLS,August 2013,no_pinned_oanda_candidate
JOLTS,2013-11-22T09:00:00-06:00,2013-11-22,BLS,September 2013,no_pinned_oanda_candidate
JOLTS,2013-12-10T09:00:00-06:00,2013-12-10,BLS,October 2013,no_pinned_oanda_candidate
JOLTS,2014-01-17T09:00:00-06:00,2014-01-17,BLS,November 2013,no_pinned_oanda_candidate
JOLTS,2014-02-11T09:00:00-06:00,2014-02-11,BLS,December 2013,no_pinned_oanda_candidate
JOLTS,2014-03-11T09:00:00-05:00,2014-03-11,BLS,January 2014,no_pinned_oanda_candidate
JOLTS,2014-04-08T09:00:00-05:00,2014-04-08,BLS,February 2014,no_pinned_oanda_candidate
JOLTS,2014-05-09T09:00:00-05:00,2014-05-09,BLS,March 2014,no_pinned_oanda_candidate
JOLTS,2014-06-10T09:00:00-05:00,2014-06-10,BLS,April 2014,no_pinned_oanda_candidate
JOLTS,2014-07-08T09:00:00-05:00,2014-07-08,BLS,May 2014,no_pinned_oanda_candidate
JOLTS,2014-08-12T09:00:00-05:00,2014-08-12,BLS,June 2014,no_pinned_oanda_candidate
JOLTS,2014-09-09T09:00:00-05:00,2014-09-09,BLS,July 2014,no_pinned_oanda_candidate
JOLTS,2014-10-07T09:00:00-05:00,2014-10-07,BLS,August 2014,no_pinned_oanda_candidate
JOLTS,2014-11-13T09:00:00-06:00,2014-11-13,BLS,September 2014,no_pinned_oanda_candidate
JOLTS,2014-12-09T09:00:00-06:00,2014-12-09,BLS,October 2014,no_pinned_oanda_candidate
JOLTS,2015-01-13T09:00:00-06:00,2015-01-13,BLS,November 2014,no_pinned_oanda_candidate
JOLTS,2015-02-10T09:00:00-06:00,2015-02-10,BLS,December 2014,no_pinned_oanda_candidate
JOLTS,2015-03-10T09:00:00-05:00,2015-03-10,BLS,January 2015,no_pinned_oanda_candidate
JOLTS,2015-04-07T09:00:00-05:00,2015-04-07,BLS,February 2015,no_pinned_oanda_candidate
JOLTS,2015-05-12T09:00:00-05:00,2015-05-12,BLS,March 2015,no_pinned_oanda_candidate
JOLTS,2015-06-09T09:00:00-05:00,2015-06-09,BLS,April 2015,no_pinned_oanda_candidate
JOLTS,2015-07-07T09:00:00-05:00,2015-07-07,BLS,May 2015,no_pinned_oanda_candidate
JOLTS,2015-08-12T09:00:00-05:00,2015-08-12,BLS,June 2015,no_pinned_oanda_candidate
JOLTS,2015-09-09T09:00:00-05:00,2015-09-09,BLS,July 2015,no_pinned_oanda_candidate
JOLTS,2015-10-16T09:00:00-05:00,2015-10-16,BLS,August 2015,no_pinned_oanda_candidate
JOLTS,2015-11-12T09:00:00-06:00,2015-11-12,BLS,September 2015,no_pinned_oanda_candidate
JOLTS,2015-12-08T09:00:00-06:00,2015-12-08,BLS,October 2015,no_pinned_oanda_candidate
JOLTS,2016-01-12T09:00:00-06:00,2016-01-12,BLS,November 2015,no_pinned_oanda_candidate
JOLTS,2016-02-09T09:00:00-06:00,2016-02-09,BLS,December 2015,no_pinned_oanda_candidate
JOLTS,2016-03-17T09:00:00-05:00,2016-03-17,BLS,January 2016,no_pinned_oanda_candidate
JOLTS,2016-04-05T09:00:00-05:00,2016-04-05,BLS,February 2016,no_pinned_oanda_candidate
JOLTS,2016-05-10T09:00:00-05:00,2016-05-10,BLS,March 2016,no_pinned_oanda_candidate
JOLTS,2016-06-08T09:00:00-05:00,2016-06-08,BLS,April 2016,no_pinned_oanda_candidate
JOLTS,2016-07-12T09:00:00-05:00,2016-07-12,BLS,May 2016,no_pinned_oanda_candidate
JOLTS,2016-08-10T09:00:00-05:00,2016-08-10,BLS,June 2016,no_pinned_oanda_candidate
JOLTS,2016-09-07T09:00:00-05:00,2016-09-07,BLS,July 2016,no_pinned_oanda_candidate
JOLTS,2016-10-12T09:00:00-05:00,2016-10-12,BLS,August 2016,no_pinned_oanda_candidate
JOLTS,2016-11-08T09:00:00-06:00,2016-11-08,BLS,September 2016,no_pinned_oanda_candidate
JOLTS,2016-12-07T09:00:00-06:00,2016-12-07,BLS,October 2016,no_pinned_oanda_candidate
JOLTS,2017-01-10T09:00:00-06:00,2017-01-10,BLS,November 2016,no_pinned_oanda_candidate
JOLTS,2017-02-07T09:00:00-06:00,2017-02-07,BLS,December 2016,no_pinned_oanda_candidate
JOLTS,2017-03-16T09:00:00-05:00,2017-03-16,BLS,January 2017,no_pinned_oanda_candidate
JOLTS,2017-04-11T09:00:00-05:00,2017-04-11,BLS,February 2017,no_pinned_oanda_candidate
JOLTS,2017-05-09T09:00:00-05:00,2017-05-09,BLS,March 2017,no_pinned_oanda_candidate
JOLTS,2017-06-06T09:00:00-05:00,2017-06-06,BLS,April 2017,no_pinned_oanda_candidate
JOLTS,2017-07-11T09:00:00-05:00,2017-07-11,BLS,May 2017,no_pinned_oanda_candidate
JOLTS,2017-08-08T09:00:00-05:00,2017-08-08,BLS,June 2017,no_pinned_oanda_candidate
JOLTS,2017-09-12T09:00:00-05:00,2017-09-12,BLS,July 2017,no_pinned_oanda_candidate
JOLTS,2017-10-11T09:00:00-05:00,2017-10-11,BLS,August 2017,no_pinned_oanda_candidate
JOLTS,2017-11-07T09:00:00-06:00,2017-11-07,BLS,September 2017,no_pinned_oanda_candidate
JOLTS,2017-12-11T09:00:00-06:00,2017-12-11,BLS,October 2017,no_pinned_oanda_candidate
JOLTS,2018-01-09T09:00:00-06:00,2018-01-09,BLS,November 2017,no_pinned_oanda_candidate
JOLTS,2018-02-06T09:00:00-06:00,2018-02-06,BLS,December 2017,no_pinned_oanda_candidate
