agency	artifact_path	artifact_sha256	source_url	acquisition_status	parse_status	validation_status	collision_status	diagnostic
dol-eta	2012/071912.asp	7a3bb266dcf24bb48d2b595fcb0c0b5847ec4bd9e2aee357ff38d76cb6decad5	https://oui.doleta.gov/press/2012/071912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/072612.asp	7f91fe7b70deb5d71d936311037bf3d5f97aa989cd309427b4564f53de8d5f90	https://oui.doleta.gov/press/2012/072612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/080113.asp	1a00fe72ebc09995b484f00b9e9e1f7d4bff7a1f9fedc95677cd0f34482b4722	https://oui.doleta.gov/press/2012/080113.asp	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
dol-eta	2012/080212.asp	696cdabd0d93a043b0feab91f18d44edaaf19ec60c3921ee975812c51dc9a983	https://oui.doleta.gov/press/2012/080212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/080912.asp	23d136ff07dca421569195d5d7d658e4d6099f32c58046d34f08840878473195	https://oui.doleta.gov/press/2012/080912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/081612.asp	604a40435145a6f343dd1a4b3cd83038c7dbd9726760f61b9114a4d67a6b88f0	https://oui.doleta.gov/press/2012/081612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/082312.asp	9030a9b6b77af42176596d626572558732a5b48f4d1ddd88fff6f359e6444bfc	https://oui.doleta.gov/press/2012/082312.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/083012.asp	15c73f5f786303d65ea1a612ba72b2b9b9bf70322b0a9b1d6f15964f8a6b2b3d	https://oui.doleta.gov/press/2012/083012.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/090612.asp	e4fdbff7a5d4ff9fbdf7e5cc1887720e6ba3263ceb1930192675f34bce4d27b2	https://oui.doleta.gov/press/2012/090612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/091312.asp	8b0a9ed607e4089c28ffd6f7eb65e0c3df0f02064abed167872750b979d849b2	https://oui.doleta.gov/press/2012/091312.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2014/031514.txt	d47f5a0e6a7ff6512a099115149a1f9afc39f98453c595454cf92f7cd7c0a14c	https://oui.doleta.gov/press/2014/031514.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_weekly_claims_title_missing
federal-reserve	beige-book/beigebook-20100414.txt	c7fb40be200c79a416e6d4561bb3ea0c716a446b9fb66bfc2a3e8096220299f9	https://www.federalreserve.gov/fomc/beigebook/2010/20100414/fullreport20100414.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20100609.txt	a7f43579f740606f613aa484b9b136681c844120a75dcde1431e954597f83f2d	https://www.federalreserve.gov/fomc/beigebook/2010/20100609/fullreport20100609.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20110608.txt	c6c344d06a8c71cbb22317644d19f215659aeefb03f974bc859fd1a5779237e8	https://www.federalreserve.gov/monetarypolicy/beigebook/files/fullreport20110608.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20190116.txt	e1af054c99cc3fd33008e993097e42abb80ef301b1f8f5cfdd2b643d9308b1f9	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20190116.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20200304.txt	d0b7db4230d454eabe4218c459e3c0c992866f0c3b20b972eac08008bf83b31e	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20200304.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20210113.txt	28a6cb9a2cf7f04c069fa77432823838c4fae7feff365540633c3f6de6bea7a2	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20210113.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20210303.txt	33c728046a41d20af705e9bcdbf8924d1dd9cf78dac6ae7294f894a13dbd92b5	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20210303.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20221019.txt	035670fb96d31def43f73979828e5461039b65eb59b86c5ad78334be7c1d6816	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20221019.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20230419.txt	e7d885b37b97a912a786f284ca76278106d88d6649f64d575cf6d9b21d3a326a	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20230419.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
